IcaoCode,IataCode,Model,ModelUrl,ModelTitle,ModelImageUrl
DH8C,DH3,De Havilland Canada DHC-8-300 Dash 8 / 8Q,https://en.wikipedia.org/wiki/Bombardier_Dash_8,Bombardier Dash 8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Airberlin_Q400_%28cropped%29.jpg/256px-Airberlin_Q400_%28cropped%29.jpg
DH8D,DH4,De Havilland Canada DHC-8-400 Dash 8Q,https://en.wikipedia.org/wiki/Bombardier_Dash_8,Bombardier Dash 8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Airberlin_Q400_%28cropped%29.jpg/256px-Airberlin_Q400_%28cropped%29.jpg
DHC2,DHP,De Havilland Canada DHC-2 Beaver,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-2_Beaver,De Havilland Canada DHC-2 Beaver,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/VH-IDO_De_Havilland_Canada_DHC-2_Beaver_Mk1_Airwaves_Gold_Coast_%288402101541%29.jpg/256px-VH-IDO_De_Havilland_Canada_DHC-2_Beaver_Mk1_Airwaves_Gold_Coast_%288402101541%29.jpg
DHC3,DHL,De Havilland Canada DHC-3 Otter,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-3_Otter,De Havilland Canada DHC-3 Otter,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/C-FUKN-Northway-Aviation-DHC-3-Otter-2.jpg/256px-C-FUKN-Northway-Aviation-DHC-3-Otter-2.jpg
DHC4,DHC,De Havilland Canada DHC-4 Caribou,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-4_Caribou,De Havilland Canada DHC-4 Caribou,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/RAAF_Caribou_Vabre.jpg/256px-RAAF_Caribou_Vabre.jpg
DHC5,DHC,De Havilland Canada DHC-5 Buffalo,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-5_Buffalo,De Havilland Canada DHC-5 Buffalo,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/DehavillandCC-115Buffalo12.JPG/256px-DehavillandCC-115Buffalo12.JPG
DHC6,DHT,De Havilland Canada DHC-6 Twin Otter,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-6_Twin_Otter,De Havilland Canada DHC-6 Twin Otter,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/WinAir_De_Havilland_Canada_DHC-6-300_Twin_Otter_Breidenstein.jpg/256px-WinAir_De_Havilland_Canada_DHC-6-300_Twin_Otter_Breidenstein.jpg
DHC7,DH7,De Havilland Canada DHC-7 Dash 7,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-7_Dash_7,De Havilland Canada Dash 7,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/De_Havilland_Canada_DHC-7-110_Dash_7%2C_Brymon_Airways_AN2141415.jpg/256px-De_Havilland_Canada_DHC-7-110_Dash_7%2C_Brymon_Airways_AN2141415.jpg
DOVE,DHD,De Havilland DH.104 Dove,https://en.wikipedia.org/wiki/De_Havilland_Dove,De Havilland Dove,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/De_Havilland_DH-104_Dove_8_D-INKA_OTT_2013_05.jpg/256px-De_Havilland_DH-104_Dove_8_D-INKA_OTT_2013_05.jpg
E110,EMB,Embraer EMB 110 Bandeirante,https://en.wikipedia.org/wiki/Embraer_EMB_110_Bandeirante,Embraer EMB 110 Bandeirante,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/SKL_in_flight_cropped_%28105091729%29.jpg/256px-SKL_in_flight_cropped_%28105091729%29.jpg
E120,EM2,Embraer EMB 120 Brasilia,https://en.wikipedia.org/wiki/Embraer_EMB_120_Brasilia,Embraer EMB 120 Brasilia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/N569SW_LAX_%2826322494726%29.jpg/256px-N569SW_LAX_%2826322494726%29.jpg
E135,ER3,Embraer RJ135,https://en.wikipedia.org/wiki/Embraer_RJ135,,
E135,ERD,Embraer RJ140,https://en.wikipedia.org/wiki/Embraer_ERJ_145_family,Embraer ERJ family,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Embraer_EMB-145LR_%28ERJ-145LR%29%2C_American_Eagle_AN0969536.jpg/256px-Embraer_EMB-145LR_%28ERJ-145LR%29%2C_American_Eagle_AN0969536.jpg
E145,ER4,Embraer RJ145,https://en.wikipedia.org/wiki/Embraer_RJ145,Embraer ERJ family,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Embraer_EMB-145LR_%28ERJ-145LR%29%2C_American_Eagle_AN0969536.jpg/256px-Embraer_EMB-145LR_%28ERJ-145LR%29%2C_American_Eagle_AN0969536.jpg
E170,E70,Embraer 170,https://en.wikipedia.org/wiki/Embraer_170,Embraer E-Jet family,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Embraer_E190_of_JetBlue_Airways_at_DCA.jpg/256px-Embraer_E190_of_JetBlue_Airways_at_DCA.jpg
E190,E90,Embraer 190,https://en.wikipedia.org/wiki/Embraer_190,Embraer E-Jet family,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Embraer_E190_of_JetBlue_Airways_at_DCA.jpg/256px-Embraer_E190_of_JetBlue_Airways_at_DCA.jpg
E195,E95,Embraer 195,https://en.wikipedia.org/wiki/Embraer_195,Embraer E-Jet family,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Embraer_E190_of_JetBlue_Airways_at_DCA.jpg/256px-Embraer_E190_of_JetBlue_Airways_at_DCA.jpg
E35L,ER3,Embraer Legacy 600 / Legacy 650,https://en.wikipedia.org/wiki/Embraer_Legacy_600,Embraer Legacy 600,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Embraer_ERJ-135BJ_Legacy_600%2C_London_Executive_Aviation_JP6974088.jpg/256px-Embraer_ERJ-135BJ_Legacy_600%2C_London_Executive_Aviation_JP6974088.jpg
E545,N/A,Embraer Legacy 450,https://en.wikipedia.org/wiki/Embraer_Legacy_450,Embraer Legacy 450/500 and Praetor 500/600,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/PT-ZHY_Embraer_EMB550_Legacy500_E550_%2814272527752%29.jpg/256px-PT-ZHY_Embraer_EMB550_Legacy500_E550_%2814272527752%29.jpg
E190,E90,Embraer Lineage 1000,https://en.wikipedia.org/wiki/Embraer_Lineage_1000,Embraer Lineage 1000,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/A6-AJH_%288830512064%29.jpg/256px-A6-AJH_%288830512064%29.jpg
E50P,EP1,Embraer Phenom 100,https://en.wikipedia.org/wiki/Embraer_Phenom_100,Embraer Phenom 100,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Embraer_EMB-500_Phenom_100_AN1695056.jpg/256px-Embraer_EMB-500_Phenom_100_AN1695056.jpg
E55P,EP3,Embraer Phenom 300,https://en.wikipedia.org/wiki/Embraer_Phenom_300,Embraer Phenom 300,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Embraer_505_Phenom_300%2C_Aerojet_JP7625910.jpg/256px-Embraer_505_Phenom_300%2C_Aerojet_JP7625910.jpg
E75L,E7W,Embraer 175 (long wing),https://en.wikipedia.org/wiki/Embraer_E-Jet_family,Embraer E-Jet family,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Embraer_E190_of_JetBlue_Airways_at_DCA.jpg/256px-Embraer_E190_of_JetBlue_Airways_at_DCA.jpg
E75S,E7W,Embraer 175 (short wing),https://en.wikipedia.org/wiki/Embraer_E-Jet_family,Embraer E-Jet family,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Embraer_E190_of_JetBlue_Airways_at_DCA.jpg/256px-Embraer_E190_of_JetBlue_Airways_at_DCA.jpg
EC20,N/A,Eurocopter EC120 Colibri / Harbin HC120,https://en.wikipedia.org/wiki/Eurocopter_EC120_Colibri,Eurocopter EC120 Colibri,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Eurocopter_EC-120B_Colibri_AN0367366.jpg/256px-Eurocopter_EC-120B_Colibri_AN0367366.jpg
EC25,N/A,Eurocopter EC225 Super Puma,https://en.wikipedia.org/wiki/Eurocopter_EC225_Super_Puma,Eurocopter EC225 Super Puma,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Bristow_Puma_G-ZZSK_%28altered%29.jpg/256px-Bristow_Puma_G-ZZSK_%28altered%29.jpg
